volatile acidity,residual sugar,total sulfur dioxide,density,alcohol,quality
0.25,11.3,165,0.997,9.5,6
0.27,4.5,174,0.9948,9.4,5
0.46,1.7,183,0.9923,11.2,5
0.36,13.2,201,0.9976,9,5
0.22,5.5,114,0.9938,10.7,7
0.67,13,193,0.9984,9,4
0.28,10.7,222,0.9972,9.1,6
0.17,2,125,0.9922,10.8,7
0.2,1.9,136,0.9935,10.1,4
0.36,6.4,198,0.9944,9.9,6
0.36,6.3,191,0.9942,9.8,5
0.37,6.3,185,0.9944,9.8,5
0.29,17.5,225,0.9997,9.5,6
0.34,14.7,198,0.9977,9.5,5
0.19,1,94,0.9912,11.1,6
0.31,14.8,204,0.9982,9.5,5
0.31,14.8,204,0.9982,9.5,5
0.31,14.2,204,0.9983,9.4,5
0.4,13.1,197,0.998,9.7,5
0.34,2.4,135,0.9894,13.9,7
0.38,1.2,84,0.9927,10.1,4
0.33,1.1,110,0.9917,10.5,6
0.25,3.6,115,0.9904,12.6,6
0.27,6.1,41,0.993,10.9,5
0.31,6.3,218,0.9941,10,5
0.18,4.4,166,0.9943,11.2,6
0.2,13.9,130,0.99855,10,6
0.47,1,98,0.99345,9.2,5
0.25,12.1,172,0.998,9.5,5
0.27,1.6,128,0.9916,12.3,6
0.27,1.6,128,0.9916,12.3,6
0.31,7.5,213,0.99475,10,5
0.39,2.7,187,0.99325,10.8,6
0.21,1.7,150,0.9933,10.5,7
0.42,9.2,221,0.9969,9.2,6
0.27,18.75,157,1.0002,9.1,5
0.21,1.7,150,0.9933,10.5,7
0.29,1.8,127,0.9937,10.2,7
0.29,9,178,0.99685,8.9,5
0.3,1.5,182,0.99455,10.4,5
0.31,1.6,128,0.9917,11.7,6
0.33,1.3,89,0.99035,12.4,8
0.3,1.8,122,0.9914,10.9,7
0.39,1.2,136,0.99225,10.2,5
0.24,2.8,114,0.99155,11.7,7
0.21,8,101,0.9954,9.4,5
0.16,5.3,157,0.99455,10.5,5
0.33,0.8,188,0.9924,9.4,5
0.23,13.8,139,0.99695,10.4,6
0.25,10,240,0.99655,9.5,6
0.28,6,49,0.9934,11.1,7
0.25,14.4,183,0.998,9.1,6
0.38,9.8,191,0.9971,9.2,5
0.25,5.5,129,0.9948,9.6,6
0.25,14.4,183,0.998,9.1,6
0.38,9.8,191,0.9971,9.2,5
0.21,3.8,142,0.99215,10.8,7
0.25,5.5,129,0.9948,9.6,6
0.39,4.6,19,0.9915,12.6,3
0.2,1.5,57,0.99115,11,6
0.2,2,136,0.9932,10.2,6
0.26,12.5,152,0.9977,9.4,5
0.38,7.5,160,0.99535,10,5
0.2,2.1,113,0.99165,12.2,6
0.21,8.5,253,0.9953,10.5,6
0.29,7.6,177,0.9928,11.5,6
0.18,8.1,176,0.9958,9.8,6
0.3,7.35,175,0.9928,11.4,6
0.29,7.6,177,0.9928,11.5,6
0.2,10,167,0.9964,10.2,6
0.2,14,160,0.9987,9.4,6
0.21,8.5,253,0.9953,10.5,6
0.35,2.2,138,0.9932,9.1,5
0.28,1.8,107,0.9907,12.2,7
0.25,11.1,175,0.99755,9.5,5
0.22,15.2,178,0.99935,9.3,6
0.14,1.2,136,0.9932,9.8,7
0.13,1.2,134,0.9932,9.8,7
0.18,8.1,176,0.9958,9.8,6
0.2,8.1,173,0.99585,9.8,6
0.24,19.3,247,1.00055,8.7,5
0.44,18.6,128,0.9985,10.2,6
0.3,5,168,0.99505,9.5,6
0.27,1.6,135,0.992,11,6
0.5,13.4,238,0.9988,9.2,5
0.2,1.6,46,0.99175,10.9,6
0.11,8.8,113,0.9962,9.3,7
0.11,8.8,113,0.9962,9.3,7
0.12,5.2,120,0.9942,9.8,7
0.16,1.1,140,0.9927,9.3,7
0.21,1.1,144,0.9927,9.3,7
0.27,16.7,172,0.99985,9.4,5
0.27,10.6,124,0.997,10.4,9
0.225,2.2,104,0.9918,12.1,6
0.14,1.5,98,0.99215,11,6
0.23,13.7,197,0.99865,9,5
0.22,15,178,0.9992,9.5,7
0.17,14.1,145,1.0006,8.8,8
0.395,1.4,55,0.99135,11.2,4
0.29,9.5,213,0.99715,9.3,6
0.22,15,178,0.9992,9.5,7
0.17,14.1,145,1.0006,8.8,8
0.23,13.7,197,0.99865,9,5
0.3,10.6,119,0.99815,9.3,6
0.34,11,117,0.99815,9.2,6
0.34,11,117,0.99815,9.2,6
0.34,7,116,0.9949,10,7
0.3,10.6,119,0.99815,9.3,6
0.34,11,117,0.99815,9.2,6
0.24,2,92,0.99225,10.9,7
0.46,4.9,144,0.99445,10,5
0.24,2,92,0.99225,10.9,7
0.32,1.4,173,0.99335,9.3,5
0.31,7.3,157,0.99625,9,5
0.42,8.8,215,0.9971,9.2,6
0.24,12.5,153,0.9983,9.6,6
0.18,4.8,113,0.99445,9.4,6
0.18,1.4,75,0.99085,11.1,8
0.27,11.2,161,0.9977,8.9,6
0.28,6.8,222,0.9953,9.3,5
0.39,11.6,220,0.99775,9.3,5
0.21,11.4,165,0.99795,9.8,7
0.32,6.6,112,0.99505,9.8,6
0.27,11.2,161,0.9977,8.9,6
0.31,13.2,205,0.9975,9.6,5
0.29,13.1,204,0.99745,9.6,6
0.39,12,246,0.9976,9,6
0.3,13.4,206,0.99775,9.5,6
0.28,6.8,222,0.9953,9.3,5
0.41,1.5,120,0.9932,9.2,6
0.35,1.1,160,0.99405,9.1,7
0.26,16.5,166,1,9.5,6
0.35,15.6,229,0.99785,10.5,6
0.3,2.8,125,0.9939,9,5
0.18,5.1,77,0.9939,11.7,5
0.56,8.9,133,0.99675,9.1,5
0.3,2.8,125,0.9939,9,5
0.56,8.9,133,0.99675,9.1,5
0.36,1.6,85,0.98965,12.4,9
0.655,10.2,212,0.9971,9.2,6
0.18,5.4,104,0.99445,9.4,5
0.19,6.2,117,0.9945,9.6,6
0.18,5.1,77,0.9939,11.7,5
0.21,7.2,167,0.9958,9.8,6
0.25,8.1,155,0.9956,10.2,6
0.24,2,139,0.99055,12.5,9
0.16,10.7,90,0.9959,10.9,7
0.16,1.2,90,0.9925,11,7
0.205,1.7,110,0.9963,10.5,6
0.17,5.5,161,0.9935,11.5,4
0.3,2.7,108,0.99105,12.8,8
0.25,1.3,82,0.99045,12.2,6
0.205,1.7,110,0.9963,10.5,6
0.42,4.3,108,0.99155,12.8,8
0.25,2.1,177,0.99085,11.9,8
0.25,2.1,177,0.99085,11.9,8
0.25,2.1,177,0.99085,11.9,8
0.34,6,126,0.9924,12,7
0.33,6.3,126,0.9924,12,7
0.23,13.4,169,0.99975,8.8,7
0.23,13.4,169,0.99975,8.8,7
0.19,1.7,101,0.99315,10.8,7
0.21,1.6,118,0.9917,11,8
0.21,1.6,118,0.9917,11,8
0.22,15.4,153,0.99845,9.3,5
0.34,1.2,73,0.9921,10.8,5
0.23,13.4,169,0.99975,8.8,7
0.2,1.8,105,0.9909,11.5,6
0.19,1.7,101,0.99315,10.8,7
0.38,13.6,166,0.99855,9.4,5
0.18,1.3,117,0.9934,9.5,7
0.34,11.1,151,0.9978,8.6,5
0.18,1.3,117,0.9934,9.5,7
0.2,2.1,116,0.9949,10.3,7
0.38,13.6,166,0.99855,9.4,5
0.4,13.7,169,0.9986,9.4,5
0.22,10.2,149,0.99725,10,7
0.3,4.8,166,0.9946,9.4,5
0.27,1.7,103,0.99255,10.4,8
0.25,14.2,182,0.9996,9.1,7
0.34,6.5,163,0.9939,9.9,6
0.28,1.7,111,0.99,12.1,6
0.33,6.5,163,0.9937,9.9,5
0.27,2.2,117,0.9886,12.5,6
0.18,1.3,117,0.9934,9.5,7
0.18,12.6,143,1,8.5,8
0.28,14.4,173,0.9994,9,7
0.24,1.2,97,0.9926,10.1,6
0.45,9.7,159,0.9956,9.4,5
0.34,11.1,151,0.9978,8.6,5
0.26,4,125,0.9915,10.7,6
0.17,1.4,33,0.9939,9.6,3
0.15,1.3,64,0.9932,10.1,5
0.21,2.2,141,0.993,10,7
0.36,4.2,119,0.9898,12.7,9
0.28,1.6,104,0.9921,10.2,6
0.16,1.4,110,0.9932,8.9,6
0.12,2.2,111,0.9919,11.9,8
0.21,2.2,141,0.993,10,7
0.36,1.9,121,0.9953,9.9,6
0.26,6,125,0.9928,11.5,6
0.26,6,125,0.9928,11.5,6
0.23,12.2,236,0.9976,9.8,6
0.34,2.6,105,0.9906,12.2,7
0.26,1.6,173,0.9918,11.4,6
0.3,2,90,0.99185,11,7
0.26,1.6,173,0.9918,11.4,6
0.3,2,90,0.99185,11,7
0.31,6.4,166,0.994,9.9,6
0.26,1.2,114,0.9908,11,7
0.26,1,114,0.9928,9.4,5
0.31,1.4,128,0.9896,12.2,7
0.26,1.2,114,0.9908,11,7
0.19,1.1,67,0.9918,10.3,6
0.18,8.7,242,0.9952,10.5,6
0.29,1.6,87,0.9923,10.5,6
0.26,1.4,67,0.9915,10.9,6
0.18,8.5,242,0.9952,10.5,6
0.2,7.9,145,0.9947,11,7
0.29,13.2,113,0.9983,9.7,6
0.28,12.8,229,0.9975,8.9,5
0.31,7.7,206,0.995,9.6,6
0.21,2.4,159,0.9944,8.8,8
0.19,1.6,101,0.994,11.1,4
0.27,1.3,72,0.9944,10.3,4
0.25,2.1,124,0.9908,12.2,8
0.23,9.6,159,0.99795,9.8,4
0.24,13,217,0.9985,8.8,5
0.33,5.8,144,0.99425,9.9,5
0.33,5.6,143,0.99425,9.9,5
0.34,5.8,145,0.9943,9.9,5
0.29,0.8,30,0.9924,9.2,5
0.32,1.2,88,0.9946,9.5,4
0.29,0.8,30,0.9924,9.2,5
0.13,4.7,137,0.995,10.3,7
0.3,1.6,124,0.9919,11,6
0.24,1.4,107,0.99,11.9,6
0.18,1.1,107,0.9923,10.2,7
0.11,4.6,144,0.9956,9.4,7
0.32,10.6,153,0.9978,8.9,6
0.32,10.6,153,0.9978,8.9,6
0.26,12.9,215,0.9967,10,6
0.28,2,152,0.9934,10.7,8
0.27,2.9,100,0.9936,9.8,5
0.595,2.8,80,0.9932,9.3,5
0.25,2.9,173,0.9934,9.5,7
0.25,12,179,0.998,10,5
0.36,15,115,0.9978,9,5
0.17,5.9,84,0.9929,11.9,7
0.26,12.6,230,0.9974,8.9,5
0.26,12.5,225,0.99685,10,6
0.29,7.4,205,0.99495,9.6,5
0.28,13,233,0.99745,8.9,5
0.27,6.7,230,0.99505,8.9,5
0.43,1.4,67,0.992,11.4,5
0.36,15,115,0.9978,9,5
0.35,7.3,244,0.9956,10,6
0.24,15.3,194,0.9982,9.6,7
0.34,7.5,197,0.99485,9.7,5
0.27,11.75,212,0.9971,9.5,6
0.415,1.6,88,0.99265,10,7
0.48,3.5,135,0.9904,12.2,7
0.18,8,131,0.9965,8.7,7
0.15,5,105,0.9946,10.2,7
0.345,18.2,205,0.99965,9.6,5
0.16,1.6,147,0.9935,10,5
0.705,3.2,57,0.996,9.5,4
0.25,6.4,84,0.9942,11.5,5
0.345,1.9,134,0.9936,9.5,5
0.22,9.7,143,0.9965,9.8,6
0.17,1.4,99,0.9928,10.1,6
0.23,1.3,117,0.9928,10,5
0.22,9.7,143,0.9965,9.8,6
0.345,1.9,134,0.9936,9.5,5
0.32,1.8,133,0.9938,9.5,5
0.23,0.9,79,0.9926,10.2,7
0.2,1.1,78,0.9926,10.2,7
0.24,15.4,174,0.9983,9,6
0.24,15.4,174,0.9983,9,6
0.42,5,101,0.992,12.3,7
0.24,15.4,174,0.9983,9,6
0.19,4,112,0.9923,11.6,6
0.26,12.5,152,0.9972,9.5,6
0.23,3.2,101,0.9928,11.5,5
0.34,1.8,188,0.9928,9.6,6
0.22,17.5,153,0.9994,9,6
0.08,1.9,93,0.991,12,7
0.42,1.6,68,0.9906,11.4,7
0.42,1.5,102,0.9894,12.3,7
0.27,1.7,110,0.9898,12.6,7
0.22,17.5,153,0.9994,9,6
0.08,1.9,93,0.991,12,7
0.13,1.8,114,0.9925,11.7,6
0.3,4.3,111,0.9956,9.2,5
0.13,4.9,131,0.9946,10.3,6
0.14,7.6,189,0.9966,8.6,5
0.28,6.7,155,0.9951,10.7,7
0.2,1.6,54,0.9927,9.8,5
0.19,1.5,55,0.9927,9.8,6
0.28,6.7,155,0.9951,10.7,7
0.39,1.7,72,0.9894,12.5,6
0.36,4.2,77,0.9907,11.9,6
0.19,1.6,149,0.9925,10.8,5
0.41,1.9,122,0.9928,10.5,6
0.28,5.3,161,0.9941,10.3,6
0.3,5.2,163,0.9941,10.3,6
0.19,1.6,149,0.9925,10.8,5
0.28,8.9,117,0.9935,12,7
0.16,3.4,143,0.9932,10.2,6
0.26,1.3,69,0.9944,10.2,4
0.25,15.2,217,0.9972,9.9,5
0.24,1.3,62,0.994,10.1,4
0.18,1.8,187,0.9956,9.5,6
0.27,1.6,154,0.9927,10.5,6
0.26,1.3,29,0.9924,10.4,5
0.24,9.8,152,0.9966,9.5,6
0.24,17.45,184,0.9997,9.2,6
0.21,2.1,165,0.9936,10.1,7
0.19,1.8,84,0.9936,9.8,7
0.28,6.8,216,0.9952,9.4,5
0.28,7.1,221,0.9952,9.4,6
0.24,1.3,136,0.9928,10.4,7
0.36,3.3,153,0.9911,11.3,6
0.18,3.3,91,0.993,10.8,6
0.36,3.3,153,0.9911,11.3,6
0.52,2.7,79,0.9932,9.3,5
0.22,1.2,199,0.993,10.3,7
0.15,1.3,146,0.993,10.5,6
0.16,1.4,109,0.9932,10.3,6
0.16,1.7,173,0.9932,11.2,7
0.16,1.7,98,0.9943,10.3,6
0.25,11.6,210,0.9968,9.5,5
0.16,12.6,162,0.9994,8.9,5
0.39,2.8,113,0.9926,10.2,5
0.37,11.2,136,0.9968,9.2,5
0.16,1.4,109,0.9932,10.3,6
0.18,1.4,157,0.9916,10.5,6
0.14,1.5,189,0.9946,9.5,6
0.2,1.5,125,0.9925,11.4,7
0.2,1.5,125,0.9925,11.4,7
0.19,7.05,188,0.9935,11.1,8
0.19,10.6,174,0.9962,10.5,6
0.34,2.8,185,0.9928,12,6
0.15,1.6,123,0.993,9.7,6
0.14,1.6,140,0.993,10.2,6
0.55,8.2,60,0.9956,9.5,4
0.24,1.5,128,0.9941,10.4,7
0.6,11,245,0.9972,9.3,4
0.2,2.1,166,0.9948,10.5,6
0.34,7.6,232,0.9955,10,6
0.3,6.8,234,0.9972,10.2,6
0.3,6.8,234,0.9972,10.2,6
0.64,10.6,227,0.9983,9.1,3
0.17,1.8,148,0.9942,10.2,6
0.17,1.5,75,0.9936,10.7,5
0.47,6,77,0.9956,9.7,5
0.15,5.3,104,0.9953,9.3,7
0.17,1.4,102,0.9918,11,5
0.68,2.1,138,0.995,10.8,4
0.275,1,75,0.992,10.7,5
0.49,5.2,104,0.9952,10.7,4
0.33,19.45,243,1.001,8.8,5
0.21,1.6,94,0.9924,10.9,7
0.15,2,92,0.9932,10.5,5
0.19,1.3,107,0.9937,10,5
0.31,1.7,61,0.9918,10.4,5
0.4,1.1,75,0.9934,9.2,5
0.37,4.7,116,0.991,12.6,6
0.24,7.5,152,0.9962,9,5
0.21,1.1,123,0.9932,9.2,6
0.29,1.3,86,0.9908,11.3,5
0.29,2.2,119,0.9962,10.3,4
0.31,1.7,61,0.9918,10.4,5
0.26,2.2,111,0.9941,10,5
0.21,1.2,111,0.9931,10.7,6
0.51,10,197,0.9981,9,5
0.21,1.2,111,0.9931,10.7,6
0.3,1.1,166,0.9944,8.7,4
0.26,2,121,0.992,11.6,7
0.21,7.5,185,0.9966,9.4,5
0.26,4,216,0.9956,9.5,5
0.26,4.1,202,0.9956,9.5,5
0.26,1.9,159,0.9949,10.9,6
0.22,14.8,126,1.0002,9.7,5
0.3,5.5,172,0.9942,9.1,6
0.19,2.6,125,0.9923,11.1,7
0.33,6.35,87,0.9917,12.6,7
0.2,1.5,147,0.9931,11,6
0.37,1.6,166,0.992,11.3,7
0.22,14.8,126,1.0002,9.7,5
0.29,9.1,118,0.9953,10.9,7
0.34,8,192,0.9951,10.9,5
0.55,12,186,0.9974,9.3,6
0.4,3.2,124,0.9904,12.7,7
0.28,7.7,180,0.9974,10.1,6
0.26,1.3,132,0.9944,10,5
0.26,16.3,197,1.0004,9.8,5
0.34,6.2,227,0.9952,10.1,6
0.15,4.7,118,0.9956,9,7
0.27,5.8,155,0.995,9.4,6
0.27,5.8,155,0.995,9.4,6
0.2,16.95,190,0.9995,9.2,6
0.23,5.1,142,0.9942,10.1,7
0.31,10.2,160,0.9977,8.6,5
0.24,3.8,128,0.992,11.2,8
0.24,1.3,123,0.992,11.2,8
0.2,16.95,190,0.9995,9.2,6
0.17,4,127,0.9934,10.6,7
0.21,17.1,213,1.0006,9.3,6
0.21,14.5,178,0.9982,8.9,6
0.21,1.2,156,0.9928,10.6,6
0.17,6.7,132,0.9945,10.6,7
0.24,8.4,183,0.9963,8.8,5
0.24,1.3,97,0.9906,11,8
0.28,8.8,139,0.9956,10.2,6
0.23,5.1,142,0.9942,10.1,7
0.29,10.6,120,0.9962,10.1,6
0.29,2.6,120,0.9894,14,7
0.27,5.8,155,0.995,9.4,6
0.17,2.8,107,0.9908,11.8,6
0.16,1.6,148,0.9914,11.4,5
0.29,6.7,117,0.9938,10.7,5
0.31,10.2,160,0.9977,8.6,5
0.32,4.9,191,0.9922,11.5,7
0.24,3.8,128,0.992,11.2,8
0.37,2,87,0.9903,12.6,7
0.29,1.7,76,0.9893,12.6,7
0.22,2.4,151,0.9952,9.3,4
0.37,2,87,0.9903,12.6,7
0.18,1.3,96,0.9912,12.1,6
0.22,12,177,0.9983,9.9,6
0.18,1.6,102,0.9937,10.7,5
0.52,1.4,26,0.9932,10,4
0.15,2.2,96,0.9928,10.4,8
0.415,1.4,64,0.9922,10.5,5
0.45,8.3,216,0.9976,9.7,5
0.415,1.4,64,0.9922,10.5,5
0.5,12.9,138,0.9974,9,5
0.105,12.4,106,0.998,9.2,6
0.4,1.6,117,0.9931,10.1,6
0.25,1.45,89,0.9911,11.4,7
0.36,1.6,124,0.9944,10.8,5
0.23,1.5,135,0.9937,10.9,5
0.55,13,182,0.9974,9.2,6
0.115,1.95,166,0.989,12.9,7
0.125,5.85,99,0.992,12,7
0.1,1.3,100,0.9928,9.5,5
0.25,5.3,117,0.9918,11.8,7
0.2,1.2,159,0.9936,9.1,6
0.23,4,128,0.9944,9.7,6
0.39,14.35,162,0.9988,9.1,5
0.22,2.3,114,0.994,10,5
0.41,4.7,127,0.9953,10.4,5
0.25,12.85,161,0.9986,9.5,6
0.26,5.2,178,0.9914,12.3,8
0.31,8.4,170,0.9934,11.7,8
0.28,3.2,133,0.996,9.5,5
0.31,6.9,91,0.9937,11.5,5
0.16,1,57,0.9921,10.6,6
0.34,7.3,146,0.998,10.2,5
0.28,3.2,133,0.996,9.5,5
0.24,1.6,131,0.9933,10.5,5
0.25,1.5,132,0.9933,10.5,5
0.32,7.5,223,0.9959,8.9,5
0.27,1.1,151,0.9936,10.6,5
0.34,1.3,188,0.9953,9.5,5
0.17,5.7,111,0.9938,10.8,6
0.25,7.2,220,0.9952,9.5,5
0.32,7.6,219,0.9959,8.9,5
0.32,7.5,223,0.9959,8.9,5
0.6,1.3,79,0.9937,9.4,4
0.395,1.3,102,0.992,10.6,6
0.16,4.8,171,0.9967,9,4
0.33,2.1,172,0.9944,10.5,4
0.3,16.85,135,0.9998,9,6
0.3,16.85,135,0.9998,9,6
0.26,4.1,189.5,0.9942,9.4,6
0.3,16.85,135,0.9998,9,6
0.14,1.3,153,0.9945,9.6,6
0.3,16.85,135,0.9998,9,6
0.25,7.4,151,0.9946,10.2,7
0.26,4.1,189.5,0.9942,9.4,6
0.23,0.9,73,0.9928,10.4,6
0.24,6.3,129,0.9946,10.4,5
0.45,0.8,82,0.9927,9.5,5
0.23,1.4,113,0.9938,10.6,6
0.2,1,74,0.9918,11,5
0.14,1.3,153,0.9945,9.6,6
0.25,4.5,115,0.9966,9.9,6
0.61,5.4,118,0.9954,9.6,5
0.21,1.9,119,0.9913,12.8,6
0.22,2,101,0.9931,11.4,5
0.26,12.7,214,0.9986,10,6
0.25,8.6,173,0.9965,9.1,5
0.32,11.1,198,0.9984,9.4,7
0.25,2,189,0.9952,10.2,6
0.44,2.8,167,0.9956,9.2,5
0.2,4.5,109,0.9949,9.4,5
0.61,5.4,118,0.9954,9.6,5
0.42,9.1,125,0.996,10.1,6
0.22,2,101,0.9931,11.4,5
0.26,2.2,134,0.992,10.6,6
0.46,4.1,138,0.9912,12.8,7
0.41,11.8,225,0.9978,8.9,5
0.32,1.2,184,0.9938,9.3,5
0.21,2.2,104,0.9914,11.1,8
0.21,1.4,143,0.9932,9.9,6
0.26,1.6,55,0.9944,9.6,5
0.21,1.9,119,0.9913,12.8,6
0.25,5.2,135,0.9948,10.7,7
0.26,14.45,107,0.998,9.2,6
0.22,14.75,129.5,0.9998,9.1,7
0.37,8.3,216,0.9964,9.6,6
0.22,14.2,141,0.9992,9.2,6
0.25,5.2,135,0.9948,10.7,7
0.22,14.75,129.5,0.9998,9.1,7
0.26,14.45,107,0.998,9.2,6
0.25,6.9,93,0.9939,10.7,7
0.18,1.5,93,0.992,10.8,6
0.17,1.5,75,0.9922,10.8,7
0.3,7.8,192,0.9955,9,5
0.33,1.5,97,0.9917,10.7,6
0.33,1.5,97,0.9917,10.7,6
0.33,1.5,200,0.9954,9.4,5
0.26,15.55,171,0.9986,8.8,6
0.3,7.8,192,0.9955,9,5
0.21,1.7,134,0.9917,11.5,6
0.23,1.5,125,0.9907,12.5,6
0.28,1,59,0.9922,10.5,6
0.27,6.7,188,0.9958,9.7,5
0.32,1.6,155,0.993,11.3,6
0.33,1.5,97,0.9917,10.7,6
0.24,1.2,59,0.9926,10.8,6
0.28,7.1,169,0.9959,10.6,5
0.37,1,93,0.9906,11.7,8
0.61,12.1,220,0.9993,9.2,5
0.26,7.1,126,0.993,11.1,8
0.37,1,93,0.9906,11.7,8
0.23,1.15,217.5,0.992,11,6
0.4,6,127,0.992,12.5,7
0.28,1.2,115,0.994,10,6
0.28,7.1,169,0.9959,10.6,5
0.23,2.3,102,0.9908,12.3,7
0.32,3.4,87,0.9902,12.7,6
0.23,2.3,102,0.9908,12.3,7
0.18,6.5,110,0.9943,10.5,5
0.26,1.2,109,0.9921,12.5,6
0.33,1.15,96,0.9911,12.4,3
0.29,13,238,0.9986,8.7,6
0.41,4.5,114,0.992,12.4,7
0.44,5.85,93,0.992,12.6,7
0.39,5.2,131,0.9943,11,6
0.26,1.3,155,0.9937,10.1,6
0.32,1.7,195,0.993,10.5,5
0.32,3.4,87,0.9902,12.7,6
0.24,3.6,116,0.9928,10.9,5
0.44,2.7,128,0.9896,13.5,7
0.25,2.2,164,0.998,9.7,5
0.14,1.8,178,0.9954,9.2,6
0.18,2.1,187,0.9938,10.6,7
0.43,6.6,141,0.9918,13.3,7
0.44,2.7,128,0.9896,13.5,7
0.26,5.1,131,0.9944,10.1,5
0.66,17.55,233,0.9999,9.4,4
0.2,5.2,167,0.9953,10.6,7
0.21,1.1,80,0.992,11.3,6
0.18,1.1,73,0.9925,10.8,7
0.57,10.7,195,0.9981,10.4,5
0.26,5.15,160,0.9952,10.5,7
0.245,1.1,150,0.9927,9.3,5
0.245,1.1,152,0.9927,9.3,6
0.25,1.8,165,0.9911,12.2,7
0.16,1,150,0.9936,9.2,5
0.22,1.8,104,0.9959,10.3,6
0.18,1.4,157,0.9946,9.4,6
0.17,6.7,223,0.9948,10.2,6
0.29,6.8,212,0.9955,9,6
0.21,6.8,245,0.9951,9.3,6
0.23,7.1,236,0.9952,9.2,6
0.19,1.5,156,0.9946,9.4,6
0.18,1.4,157,0.9946,9.4,6
0.29,1.45,223,0.9944,9.5,6
0.14,1.2,73,0.9938,9.9,5
0.31,7.4,174,0.9963,11.1,7
0.28,4.2,116,0.991,12.3,8
0.22,14.6,163,1.0003,8.6,7
0.31,10.5,145,0.9966,9.4,5
0.35,13.8,190,0.9993,9.4,6
0.22,14.6,163,1.0003,8.6,7
0.5,1.1,126,0.9938,10.9,5
0.39,5.3,162,0.9965,9.4,5
0.5,1.1,126,0.9938,10.9,5
0.35,13.8,190,0.9993,9.4,6
0.22,1.5,132,0.9938,9.2,6
0.22,14.6,163,1.0003,8.6,7
0.31,10.5,145,0.9966,9.4,5
0.24,4.9,133,0.9942,10.8,6
0.27,1.9,153,0.9928,10.5,6
0.16,1.7,140,0.991,12.5,6
0.27,1.8,168,0.9911,12.1,7
0.31,10.7,147,0.9977,8.7,5
0.45,8.8,151,0.9927,12.7,8
0.27,1.8,168,0.9911,12.1,7
0.16,1.7,140,0.991,12.5,6
0.16,1.8,147,0.9912,11.4,7
0.21,1.6,110,0.9907,12.9,7
0.32,1.4,109,0.9902,12.8,7
0.16,1.6,78,0.992,11.2,6
0.16,1.5,98,0.994,9.7,6
0.23,9.2,191,0.9966,9.7,6
0.17,1.1,79,0.993,10.3,6
0.39,4.3,102,0.993,11.6,4
0.41,4.2,102,0.993,11.6,4
0.23,9.2,191,0.9966,9.7,6
0.38,5,131,0.9942,10.9,6
0.42,6.8,122,0.9925,12.6,7
0.34,5.2,163,0.9925,12.4,6
0.23,4.75,166,0.9928,11.5,5
0.245,5.9,159,0.995,10.2,6
0.2,7.7,176,0.9939,11.4,5
0.19,6.4,212,0.9958,9.6,6
0.2,8.1,163,0.9952,10.3,6
0.59,17.35,228,1,9.3,5
0.14,1.8,114,0.9948,10.7,7
0.24,1.8,105,0.99,12.8,8
0.14,1.5,142,0.9958,9.5,5
0.15,1.6,130,0.9948,10.4,6
0.17,1.6,94,0.9949,10.3,6
0.365,13.5,142,0.997,9.9,6
0.23,3.75,116,0.9927,10.7,6
0.25,1.3,160,0.9938,10.5,5
0.32,1.3,186,0.9949,9.6,5
0.31,6.2,169,0.9953,9.3,6
0.2,9.7,162,0.997,10,6
0.255,2,190,0.9932,11.2,6
0.15,1.4,177,0.9927,10.8,5
0.15,1.1,96,0.9932,10.3,6
0.25,6.6,234,0.9955,8.8,5
0.19,1.5,114,0.9914,12.8,6
0.43,4.6,114,0.991,13.2,6
0.31,0.9,152,0.992,10.1,6
0.2,1.7,161,0.9924,11,5
0.16,1.3,182,0.9927,10.8,6
0.32,2.3,114,0.9911,12.8,7
0.22,6.8,168,0.9958,9.2,6
0.26,1.5,167,0.9928,10.5,6
0.37,1.2,81,0.9902,11.7,6
0.19,2.1,104,0.994,9.5,5
0.21,2.2,108,0.994,9.5,5
0.15,8.8,110,0.9972,8.8,6
0.16,17,210,1.0004,9.3,7
0.21,1.8,180,0.991,12.6,8
0.24,1.2,107,0.9918,12.4,6
0.21,2.3,189,0.995,10.1,6
0.29,7,161,0.9941,11.2,8
0.18,6.4,251,0.9956,10,5
0.18,6.4,251,0.9956,10,5
0.58,12.15,116,0.9959,10.8,6
0.16,0.8,121,0.9922,10,6
0.54,2,151,0.9931,10.4,5
0.58,12.15,116,0.9959,10.8,6
0.25,12.4,181,0.9984,9.8,6
0.23,1.9,165,0.9908,12.2,8
0.39,1.1,113,0.991,12.7,8
0.46,6.2,163,0.9928,12.2,7
0.35,6.3,162,0.9936,11.9,7
0.29,7,161,0.9941,11.2,8
0.35,0.9,61,0.9924,10.4,4
0.57,3.9,122,0.9917,12.8,7
0.37,3.9,130,0.9906,12.7,7
0.21,2.3,189,0.995,10.1,6
0.18,6.4,251,0.9956,10,5
0.13,1.8,179,0.9955,9,5
0.19,1.1,143,0.9907,11.4,5
0.22,15.4,191,1,8.9,6
0.29,6.5,167,0.9953,9.3,6
0.35,2.4,103,0.9911,12,8
0.19,1.4,132,0.9922,10.8,7
0.12,5.7,158,0.9951,10.5,6
0.13,5.7,189.5,0.9948,10.6,7
0.25,1.4,115,0.9906,11.3,7
0.32,1.4,96,0.994,9.5,4
0.19,1.1,143,0.9907,11.4,5
0.13,1.2,140,0.9927,10.1,7
